Trial,Week,Date,Biobest,Colony,Crithidia,Size,Size_Title,Microcolony,Dead,Alive,Fraction Dead,%Dead,key,Notes,
2,1,3/24/22,5,5clean,Control,15,Small (15 bees),5clean15,0,15,0,0,15Control,,
2,1,3/24/22,5,5clean,Control,45,Large (45 bees),5clean45,45,0,1,100,45Control,"all dead, starved because feeder wasn't attached to cage :(",
2,1,3/24/22,6,6clean,Control,15,Small (15 bees),6clean15,1,14,0.066666667,6.666666667,15Control,,
2,1,3/24/22,6,6clean,Control,45,Large (45 bees),6clean45,2,43,0.044444444,4.444444444,45Control,,
2,1,3/24/22,3,3clean,Control,15,Small (15 bees),3clean15,0,15,0,0,15Control,,
2,1,3/24/22,3,3clean,Control,45,Large (45 bees),3clean45,1,44,0.022222222,2.222222222,45Control,,
2,1,3/24/22,4,4b,Inoculated,15,Small (15 bees),4b15,3,12,0.2,20,15Inoculated,"3 dead, not inoc.",
2,1,3/24/22,4,4b,Inoculated,45,Large (45 bees),4b45,6,39,0.133333333,13.33333333,45Inoculated,5 not inoc.; 1 yes inoc.,
2,2,3/29/22,3,3b,Inoculated,15,Small (15 bees),3b15,2,13,0.133333333,13.33333333,15Inoculated,"notes on whether dead were inoculated or not in sparkle notebook, probably not important",
2,2,3/29/22,3,3b,Inoculated,45,Large (45 bees),3b45,8,37,0.177777778,17.77777778,45Inoculated,,
2,2,3/29/22,4,4b,Inoculated,15,Small (15 bees),4b15,6,9,0.4,40,15Inoculated,,
2,2,3/29/22,4,4b,Inoculated,45,Large (45 bees),4b45,6,39,0.133333333,13.33333333,45Inoculated,,
2,2,3/30/22,5,5b,Inoculated,15,Small (15 bees),5b15,3,12,0.2,20,15Inoculated,,
2,2,3/30/22,5,5b,Inoculated,45,Large (45 bees),5b45,4,41,0.088888889,8.888888889,45Inoculated,,
2,2,3/30/22,6,6b,Inoculated,15,Small (15 bees),6b15,2,13,0.133333333,13.33333333,15Inoculated,,
2,2,3/30/22,6,6b,Inoculated,45,Large (45 bees),6b45,3,42,0.066666667,6.666666667,45Inoculated,,
2,2,4/1/22,5,5clean,Control,15,Small (15 bees),5clean15,1,14,0.066666667,6.666666667,15Control,,
2,2,4/1/22,5,5clean,Control,45,Large (45 bees),5clean45,45,0,1,100,45Control,,
2,2,4/1/22,6,6clean,Control,15,Small (15 bees),6clean15,2,13,0.133333333,13.33333333,15Control,,
2,2,4/1/22,6,6clean,Control,45,Large (45 bees),6clean45,7,38,0.155555556,15.55555556,45Control,,
2,2,4/1/22,3,3clean,Control,15,Small (15 bees),3clean15,0,15,0,0,15Control,,
2,2,4/1/22,3,3clean,Control,45,Large (45 bees),3clean45,2,43,0.044444444,4.444444444,45Control,,
2,3,4/4/22,3,3b,Inoculated,15,Small (15 bees),3b15,2,13,0.133333333,13.33333333,15Inoculated,,
2,3,4/4/22,3,3b,Inoculated,45,Large (45 bees),3b45,8,37,0.177777778,17.77777778,45Inoculated,,
2,3,4/5/22,4,4b,Inoculated,15,Small (15 bees),4b15,7,8,0.466666667,46.66666667,15Inoculated,,
2,3,4/5/22,4,4b,Inoculated,45,Large (45 bees),4b45,16,29,0.355555556,35.55555556,45Inoculated,,
2,3,4/5/22,6,6b,Inoculated,15,Small (15 bees),6b15,2,13,0.133333333,13.33333333,15Inoculated,,
2,3,4/6/22,5,5b,Inoculated,15,Small (15 bees),5b15,8,7,0.533333333,53.33333333,15Inoculated,,
2,3,4/6/22,5,5b,Inoculated,45,Large (45 bees),5b45,16,29,0.355555556,35.55555556,45Inoculated,,
